FID,PD_ID,Comment,Year,Name,Acres,Hectares,Plague,Manager,Perimeter,Activity,YearAcquir,sdeWildlif,Shape_area,Shape_len
0,126.0, ,2009.0,Brewbaker,30.0137966,12.14615255, ,OSMP,17407.1275267,2.0,1996,1307395.38876,1307395.75021,17407.1327765
1,26.0, ,2009.0,Cowels,5.45024723,2.2056368, ,OSMP,2875.47549866,2.0,1991,237411.881122,237411.819658,2875.47550177
2,136.0, ,2009.0,Sams Lane/Van Vleet - west,6.34678488,2.56845271, ,OSMP,4246.33216767,2.0,1978,276464.843821,276464.843324,4246.33217222
3,68.0, ,2009.0,Marshall,47.67742196,19.29436813, ,OSMP,10818.6033375,2.0,1997,2076820.1364,2076820.19345,10818.6049229
4,38.0, ,2009.0,ERNI,16.96003789,6.86348382, ,OSMP,5580.87147005,2.0,1967,738776.313838,738776.295211,5580.87124884
5,74.0, ,2009.0,Moore,12.16975432,4.92492484, ,OSMP,4263.22057378,2.0,1974,530112.447043,530112.377583,4263.22126326
6,67.0, ,2009.0,Mann,4.67766033,1.89298198, ,OSMP,2176.65426012,2.0,1973,203758.054468,203758.069058,2176.65426851
7,94.0, ,2009.0,Steele - south,35.09030231,14.20054153, ,OSMP,13426.2972507,2.0,1999,1528527.50752,1528527.45441,13426.2965405
8,108.0, ,2009.0,Ute,61.67074672,24.95726574, ,OSMP,17969.1167292,2.0,1995,2686366.97754,2686366.98157,17969.1163917
9,95.0, ,2009.0,Steinbach,14.89243827,6.02675594, ,OSMP,5153.90930618,2.0,1984,648711.981747,648712.016021,5153.909334
10,64.0, ,2009.0,Kolb I,4.13034287,1.67149046, ,OSMP,3715.88626658,2.0,1985,179917.025584,179917.01555,3715.8862672
11,119.0, ,2009.0,Wood Brothers,51.19590527,20.7182478, ,OSMP,7820.46183773,2.0,1974,2230084.72598,2230084.71305,7820.46289787
12,66.0, ,2009.0,Manchester,0.10290918,0.04164587, ,OSMP,320.74860431,2.0,1999,4482.70600781,4482.70600765,320.748604294
13,83.0, ,2009.0,Rudd,25.18295957,10.19118217, ,OSMP,4958.19518126,2.0,1975,1096965.35018,1096965.33089,4958.19520485
14,135.0, ,2009.0,Damyanovich,1.4781683,0.59819349, ,OSMP,1997.05739045,2.0,1995,64388.7527805,64388.7535807,1997.05739068
15,82.0, ,2009.0,Rolling Rock,4.46336302,1.80625893, ,OSMP,6626.15150903,2.0,1968,194423.303472,194423.315629,6626.15052297
16,23.0, ,2009.0,"Canino, Lanocito, Richardson",5.00334498,2.02478188, ,OSMP,4711.38484321,2.0,1979,217944.858546,217944.835706,4711.3848434
17,76.0, ,2009.0,Oasis,27.66722519,11.1965288, ,OSMP,11123.1315289,2.0,2001,1205179.50563,1205179.50858,11123.1309422
18,69.0, ,2009.0,McKenzie - north,3.87876359,1.56967994, ,OSMP,1815.54508903,2.0,1974,168958.276383,168958.26622,1815.54508917
19,92.0, ,2009.0,Stanger,30.90926954,12.50853759, ,OSMP,15276.6803141,2.0,2000,1346402.42645,1346402.39536,15276.6803735
20,81.0, ,2009.0,Reynolds,6.35360442,2.57121248, ,OSMP,3377.68230598,2.0,1977,276761.88478,276761.901367,3377.68203584
21,25.0, ,2009.0,"Cosslett, Knaus",1.1231207,0.45451082, ,OSMP,1457.80472695,2.0,1990,48922.9435828,48922.9419979,1457.80472757
22,113.0, ,2009.0,Van Vleet / Jeffco,40.11288058,16.23310684, ,OSMP,14342.6053762,2.0,1999,1747310.04679,1747310.08863,14342.6054968
23,40.0, ,2009.0,Flatirons Vista,0.13915277,0.05631313, ,OSMP,364.34204606,2.0,1981,6061.46799779,6061.47057488,364.342046159
24,129.0, ,2009.0,Jacob/Andrea,5.76545249,2.33319584, ,OSMP,4375.12128051,2.0,2005,251142.108395,251142.105774,4375.12131371
25,85.0, ,2009.0,Ryan - north,0.78340092,0.3170311, ,OSMP,841.06647381,2.0,2001,34124.8102879,34124.8075889,841.066473826
